vsx_name,catalog_id,vyvar_lc_rms,target_rms_phot,target_rms_sep,target_rms_dao,comp_rms_phot,comp_rms_sep,comp_rms_dao,n_comp,confidence
RR Her,1403481345376841728,0.0127941226073352,0.012589624603072433,0.007407836937633298,0.022489275548004513,0.008528876730546909,0.0057972559766007485,0.026816819182061406,8,review
EV Dra,1403766939225964288,0.0132374227556389,0.00858146895604844,0.0050563338238695365,0.005703681816362823,0.00878046297952851,0.006163155128802189,0.007987559305863236,8,review
NSVS J1607316+492856,1400272519474196224,0.0151087821212168,0.016850861251465475,0.011464606960292618,0.01187341768587821,0.01397914478502479,0.012819971601747561,0.012899403536244296,8,confirmed
ZTF J160834.70+493131.9,1400271527338499200,0.0153098454188658,0.012637764073891044,0.011958597658013739,0.012154471077632545,0.007814445999463373,0.007154084208338573,0.006992557811119196,8,confirmed
Gaia DR3 1423425318073918720,1423425318073918720,0.0154638437369442,0.011824903263304792,0.010264589705901755,0.009770209154930916,0.013201427585232905,0.010226394681541065,0.010247750478003808,8,review
NSVS J1618591+485752,1423196619654946944,0.0160050484571014,0.01515303968446474,0.013548857435848579,0.013350233044393598,0.006676825982382594,0.006132657651444278,0.006326640298378599,8,confirmed
CzeV3505,1424676871544027520,0.0165126252581643,0.01517912112092259,0.011045379637307381,0.010516955573567318,0.012111286601314797,0.011746070425124816,0.011652966050319676,8,review
Gaia DR3 1423374156423333760,1423374156423333760,0.0180441034238406,0.010797300896962733,0.0068310505007266025,0.024635483028348063,0.06710671848127209,0.054393077659689884,0.06716752848937628,7,vyvar_ok_indep_failed
Gaia DR3 1423476411004475392,1423476411004475392,0.0182827787201445,0.016170263717327764,0.014581224182116059,0.014600630241138482,0.009916741634997178,0.008237490909933141,0.00829289883664735,8,confirmed
V0649 Her,1400093887491189760,0.0196554642915082,0.024931689217951702,0.01688357508888248,0.01671968195737141,0.006887713247786713,0.006454192377527934,0.006401362064173147,8,confirmed
ASASSN-V J160429.70+504749.4,1403593358124294272,0.0204790277301475,0.01648419323604442,0.016278412772911983,0.01579310657393232,0.013280186806696851,0.011034160219442774,0.011012652236107942,8,confirmed
Gaia DR3 1400141716247021824,1400141711950227968,0.0214022422949699,0.022313041236621273,0.006592365588818263,0.014956032053881541,0.007230010210720306,0.006554323997700815,0.006498739700955697,8,review
Gaia DR3 1424832177561040256,1424832177561040256,0.0218567229081139,0.036936654560629265,0.01501538993585934,0.014452387424155815,0.015276217645018311,0.011204563669766774,0.011146794120018517,8,review
V1143 Her,1403739627529865216,0.0226565416388426,0.024517292814103274,0.022086223728889163,0.01930383695186755,0.01840922856304148,0.015217305024770946,0.015304291047316301,8,confirmed
Gaia DR3 1423181776247930368,1423181776247930368,0.0228486786372208,0.023056815749811877,0.021306390262592022,0.020218389802702384,0.014305552894962017,0.01052239583207077,0.010557208200457894,8,confirmed
Gaia DR3 1403763988584783232,1403763988584783232,0.0229343172030204,0.019093628564999375,0.019064075246987385,0.019113504253975226,0.017087789922111844,0.013326407175600692,0.014333730931068192,8,confirmed
NSV 7688,1423674323097883776,0.0233707631464908,,,0.02112820670403612,0.00917530253400109,0.007562354782275269,0.00756169417784319,8,vyvar_ok_indep_failed
Gaia DR3 1404169364777955840,1404169364777955840,0.0239893458542562,0.021353835085684884,0.013463237078707247,0.01360742520688135,0.008560190161422117,0.007793842340987494,0.007817375722910738,8,review
ASASSN-V J160300.20+511135.7,1403664860739877504,0.0264129862599411,0.008553624433543726,0.007965930393439565,0.007520981123944628,0.021580300693781636,0.017724626502772164,0.018649083644857727,8,review
Gaia DR3 1424334682909093376,1424334682909093376,0.0272917081105021,0.02493366304079145,0.02435516042577007,0.02404108011216208,0.014320738337729191,0.011739425256189154,0.012047956326209234,8,confirmed
NSV 20420,1403162624443914240,0.0292973374461595,0.028455608393600958,0.006094971142135193,0.03760495448274329,0.013775330912146515,0.008071855737348848,0.014173895866688047,7,vyvar_ok_indep_failed
Gaia DR3 1399951328936065536,1399951328936065536,0.0318716642259685,0.13319515888537534,0.02839934033515387,0.026723247154055014,0.05822189701613226,0.01919353321342379,0.018521676822217815,8,confirmed
NSVS J1548510+504301,1404111709137290240,0.0330109511749509,0.04164520599771427,0.028665971399949013,0.029445928774085965,0.00864080246606071,0.006741886990959723,0.006873445496916303,8,confirmed
Gaia DR3 1424637113030459648,1424637113030459648,0.0342658141147074,0.03836208798430418,0.027755606767212,0.027135845524212783,0.015380150296361715,0.012678038053310442,0.012280478688409573,8,confirmed
ZTF J155846.26+513939.8,1403842638025581952,0.0361768748279809,0.030449696532257285,0.029841299971707255,0.031493839946255785,0.01547275335083616,0.013848488378631747,0.013688732949102396,8,confirmed
V1022 Her,1403048275234807552,0.0366625968217841,0.07179076850166896,0.0314308812287056,0.034011582707822674,0.10274036344440833,0.03608553203871476,0.03606442849382937,5,confirmed
Gaia DR3 1403785635219591168,1403785635219591168,0.0368897521167851,0.03460973279540731,0.03396263341337701,0.03360220451937041,0.020566465196731012,0.016697909899270065,0.017229283686612983,8,confirmed
Gaia DR3 1403901629400693376,1403901629400693376,0.0377453996022678,0.045984133678710015,0.03810575262363488,0.03514251236635672,0.027309083354846678,0.02248144146062783,0.021304597632017638,8,confirmed
Gaia DR3 1399189264299382784,1399189264299382784,0.0378124600763726,0.03977291596238956,0.034824711349515494,0.03253407968090624,0.01775764103992122,0.014986440121862715,0.014796670505652663,8,confirmed
Gaia DR3 1423298324480817664,1423298324480817664,0.0387122248128934,,,0.03567583288668755,0.08216719022842585,0.06607107757849004,0.04917143075681067,8,vyvar_ok_indep_failed
NSVS 5207307,1400001665952823296,0.0391511456707789,0.19390605072829753,0.03988496532272962,0.03660429908847156,0.05824663353824668,0.042174927036353504,0.04102248689875121,8,confirmed
Gaia DR3 1423471050885319424,1423471050885319424,0.040677342311746,0.04726378406986117,0.038797797476128465,0.038895251049815706,0.07286968236887273,0.05669115045398926,0.05033347351254264,8,confirmed
Gaia DR3 1423444830108781184,1423444830108781184,0.0437591664255472,0.04269984201565052,0.04542138583970639,0.04176781862023309,0.02133739222849238,0.01741957343303866,0.017124649752734998,8,confirmed
ASASSN-V J160450.98+485218.2,1400138245913434496,0.0438495561284279,0.1324120176215779,0.04171184178199984,0.0382569651400835,0.044396391653291734,0.01777566721455056,0.016645438050167192,8,confirmed
Gaia DR3 1403342944350508032,1403342871335024896,0.0458419681846664,0.05093753899462637,0.04178949465920223,0.04321221424062545,0.02078395584913753,0.015537019558928753,0.015352347858300832,8,confirmed
V0348 Dra,1427657922444724736,0.0475215709434783,0.049915844716789684,0.04326785580726262,0.04535231452170092,0.009168580262470815,0.00738052296626069,0.007152451807113424,8,confirmed
